Operator name,Line name,Color
阪急電鉄,京都線,#0072bc
阪急電鉄,今津線,#007ac4
阪急電鉄,伊丹線,#007ac4
阪急電鉄,千里線,#2a9b50
阪急電鉄,宝塚線,#ffba00
阪急電鉄,嵐山線,#2a9b50
阪急電鉄,甲陽線,#007ac4
阪急電鉄,神戸線,#0072bc
阪急電鉄,神戸高速線,#007ac4
阪急電鉄,箕面線,#f26627
阪神電気鉄道,本線,#66cc33
阪神電気鉄道,武庫川線,#007ac4
阪神電気鉄道,神戸高速線,#007ac4
阪神電気鉄道,阪神なんば線,#007ac4
阿佐海岸鉄道,阿佐東線,#a5aeb4
阿武隈急行,阿武隈急行線,
青い森鉄道,青い森鉄道線,#33cbf4
静岡鉄道,静岡清水線,
鞍馬寺,鞍馬山鋼索鉄道,#999000
養老鉄道,養老線,#228b22
首都圏新都市鉄道,常磐新線,#000084
高尾登山電鉄,高尾鋼索線,
高松琴平電気鉄道,志度線,#ff3366
高松琴平電気鉄道,琴平線,#ffd400
高松琴平電気鉄道,長尾線,#009966
鹿児島市,唐湊線,#ef1731
鹿児島市,第一期線,#4243be
鹿児島市,第二期線,#ef1731
鹿児島市,谷山線,#4243be
鹿島臨海鉄道,大洗鹿島線,#ff0000
黒部峡谷鉄道,本線,#66cc33
